Parameter_Name,StartBound,StopBound
k_L_pm0,0.003,0.3
k_L_pm,1,100
Theta_T,3,300
Theta_aTc,0,100
n_aTc,0,5
n_T,0,5
k_T_pm0,0.01,1
k_T_pm,0.1,10
Theta_L,3,300
Theta_IPTG,0,1
n_IPTG,0,5
n_L,0,5
k_IPTG,0.004,0.4
k_in_IPTG,0.004,0.4
k_out_IPTG,0.004,0.4
k_aTc,0.01,1
k_in_aTc,0.01,1
k_out_aTc,0.01,1
g_Lm,0.1386,0.1386
g_Tm,0.1386,0.1386
g_Lp,0.0165,0.0165
g_Tp,0.0165,0.0165
