Switchingtimes,FinalTime,IPTGpre,aTcpre,IPTG,aTc
0,950.0166667,1,0,0.8,20
177.9666667,950.0166667,1,0,0.3,60
720,950.0166667,1,0,0.3,20
837.9666667,950.0166667,1,0,0.3,20
