timeGFP,GFPmean,GFPstd,timeRFP,RFPmean,RFPstd
0,2199.165079,1073.176379,0,236.7249276,487.9844878
4.983333333,2635.714751,1343.06028,4.983333333,261.9403137,528.0258663
10.01666667,1597.814265,838.8058297,10.01666667,108.6097867,227.6038212
15,2270.399733,1123.562241,15,250.6333968,501.7740022
20.01666667,1791.228362,896.3222391,20.01666667,175.9745805,359.6910005
25.01666667,2003.308999,969.2691945,25.01666667,213.7036807,415.8513554
30.01666667,1861.901756,892.1717246,30.01666667,181.029437,364.8374171
35.01666667,2088.003796,976.8147855,35.01666667,183.893507,362.2931649
40,1850.990451,839.2023926,40,148.9043483,302.6859489
45.01666667,2052.632407,908.1041874,45.01666667,149.4723945,290.6885149
50.01666667,2335.160589,987.5270251,50.01666667,152.5141351,297.8400009
55.01666667,1557.9889,618.0325982,55.01666667,126.8806274,240.4717553
60.01666667,1391.552936,547.9010368,60.01666667,79.21924111,150.3581124
65.01666667,1963.963333,752.2621764,65.01666667,119.1133685,209.0692473
70.01666667,1325.630014,460.5359395,70.01666667,89.34658218,152.9042744
75.01666667,1707.884704,633.3405385,75.01666667,103.2289673,173.0432085
80.01666667,1455.552427,505.0891996,80.01666667,74.59438143,125.6693558
85.01666667,1491.315978,495.6858729,85.01666667,70.80102357,120.3941403
90.01666667,1313.454796,465.908767,90.01666667,56.5281815,91.87756601
95.01666667,1279.31699,382.9572656,95.01666667,61.82602948,95.19540525
100.0166667,1667.669628,501.7546984,100.0166667,68.69803852,96.08315751
105,1773.897421,504.3311337,105,56.91970194,79.4739835
110.0166667,1524.692906,435.3301616,110.0166667,54.20162767,72.55714929
115,1558.933423,413.1005626,115,56.18103066,65.86479765
120.0166667,1228.360939,306.9406685,120.0166667,53.37389224,60.10464241
125.0166667,1826.29931,440.0296924,125.0166667,41.98591664,45.89127994
130.0166667,1349.311806,372.2849435,130.0166667,35.483162,37.32161588
135,941.6947595,257.9341901,135,26.3614779,27.63624147
140.0166667,1516.318312,324.2907047,140.0166667,47.00269556,41.22343323
145.0166667,1576.48023,348.7868612,145.0166667,38.36467565,34.39927729
150,1144.629291,268.1805464,150,37.9858871,34.60023719
155,1177.58498,281.9198199,155,34.06709352,33.59329048
160.0166667,949.5049849,217.8302604,160.0166667,37.29659252,35.37644487
165.0166667,896.3882488,188.054804,165.0166667,42.2533676,40.10773018
170.0166667,990.8301651,240.8990875,170.0166667,51.43322403,51.08767076
175,759.621625,188.7336599,175,47.36467565,50.59217478
180.0166667,1002.747112,255.6317726,180.0166667,77.42967181,77.89646019
185.0166667,995.9284163,258.4066662,185.0166667,78.0579434,82.7383442
190.0166667,814.8308889,209.3046759,190.0166667,92.03624601,94.0443127
195.0166667,691.9923269,240.1972777,195.0166667,76.54998228,79.12199139
200,914.8025006,251.452113,200,98.07469278,99.99513698
205,1157.045005,308.8042132,205,121.2461007,116.4757056
210.0166667,1099.941089,326.655898,210.0166667,128.9397155,114.3330584
215.0333333,949.3817057,278.2662984,215.0333333,116.7880554,106.727271
220.0166667,1284.460372,400.9632151,220.0166667,132.0115429,113.5100607
225,1180.918373,393.3835993,225,123.0380775,106.6620842
230.0166667,986.8145752,343.9903396,230.0166667,113.656911,95.78495195
235.0166667,1274.398233,493.1552677,235.0166667,124.959862,102.0914477
240,1446.393308,580.5235525,240,114.7405692,88.9378234
245.0166667,1442.508212,589.230293,245.0166667,106.1976397,82.70926282
250,1267.419296,518.6748256,250,104.4895058,80.07241261
255.0166667,1506.269504,607.6482984,255.0166667,79.74827189,60.28158081
260.0166667,975.046142,396.542571,260.0166667,66.62544311,51.28476238
265.0166667,1130.26045,438.7719694,265.0166667,67.33765361,46.61349444
270.0166667,1204.975075,451.3504196,270.0166667,79.23102032,52.57521066
275.0166667,1497.888301,537.4049129,275.0166667,83.84726899,52.76199658
280.0166667,1489.441746,529.7888015,280.0166667,70.22007562,43.78894137
285.0166667,1220.126337,403.9974756,285.0166667,70.10247548,43.1206357
290.0166667,1069.774866,343.1305674,290.0166667,50.39269467,29.38154593
295.0166667,1546.574397,487.4532227,295.0166667,60.32426445,36.54062268
300.0166667,1010.798498,303.4527252,300.0166667,62.65079611,34.27066827
305.0333333,1130.813046,321.2283612,305.0333333,70.99407716,35.45092059
310.0166667,1060.423439,299.0726883,310.0166667,82.93846006,39.86292203
315.0166667,1185.995473,369.1833675,315.0166667,83.90701436,35.78050706
320.0166667,988.4492571,304.0440403,320.0166667,135.2001654,54.1511151
325.0166667,1061.737726,312.0242264,325.0166667,159.9440801,59.70468238
330.0166667,857.5945144,260.3297762,330.0166667,243.8726885,82.76851242
335.0333333,934.6951066,266.928983,335.0333333,239.1911556,82.48720512
340.0333333,711.8086893,196.8205609,340.0333333,332.7252673,105.8840019
345.0333333,635.3911438,183.456867,345.0333333,297.9751861,96.70223621
350.0333333,863.0342668,242.8341899,350.0333333,369.51751,114.7355953
355.0166667,775.8361692,230.4496191,355.0166667,448.4489986,131.6549404
360.0166667,769.9572699,227.0105812,360.0166667,410.5352269,122.268539
365.0333333,533.0797811,158.8404816,365.0333333,337.9120288,107.5890332
370.0166667,721.4174716,213.1613066,370.0166667,486.2499926,134.1471004
375.0166667,853.4601796,244.1526162,375.0166667,398.3601707,110.5574239
380.0166667,637.5913905,183.3958533,380.0166667,422.1615266,122.3963027
385.0333333,718.2162575,206.991124,385.0333333,397.228118,116.8900137
390.0333333,837.9601427,243.0231322,390.0333333,368.4320276,107.0498979
395,699.3303128,207.5637696,395,424.986633,121.0369259
400.0166667,828.2567278,238.8504869,400.0166667,392.0966413,110.5737432
405.0166667,709.9905028,204.4328093,405.0166667,354.1536689,100.8825151
410.0333333,774.2865045,222.5268771,410.0333333,351.5606833,99.20030853
415.0166667,862.8908558,246.9745422,415.0166667,327.546755,90.83922857
420.0166667,721.0560011,197.9264124,420.0166667,246.9225378,70.3990483
425.0166667,903.348746,248.2179715,425.0166667,279.9142739,76.60556562
430.0166667,1025.652125,274.8056553,430.0166667,253.8537826,67.6347643
435.0166667,827.466841,229.4697641,435.0166667,218.8157937,55.11170727
440.0166667,537.7624734,156.4855914,440.0166667,154.51446,41.63767322
445.0166667,1078.911039,298.0936387,445.0166667,183.530013,45.17282294
450.0166667,888.3549347,232.2941302,450.0166667,166.4037428,44.25287621
455.0166667,677.4201007,196.7766326,455.0166667,150.7865414,44.76271417
460.0166667,676.1254431,199.1084424,460.0166667,213.9253146,55.33516242
465.0166667,758.4046364,223.9998002,465.0166667,234.1608694,60.54394336
470.0166667,841.8444331,242.9965291,470.0166667,318.0920699,79.16604799
475.0166667,574.8016439,166.8103183,475.0166667,409.1193726,94.57198386
480.0333333,604.7695853,187.7953764,480.0333333,453.5213134,115.1866864
485.0166667,711.0493398,208.8739183,485.0166667,544.0826834,130.5679947
490.0166667,569.0859624,170.5268768,490.0166667,702.5785035,159.9408079
495.0166667,620.5431806,177.5299039,495.0166667,781.7628353,185.6989918
500.0166667,517.5996913,150.8476419,500.0166667,745.3443002,184.7459953
505.0333333,561.2725614,165.3885671,505.0333333,914.3465748,230.8221024
510.0166667,457.1474064,143.0354795,510.0166667,659.8020058,171.6337311
515.0166667,492.9368353,149.2143519,515.0166667,803.9852446,200.1253595
520.0166667,549.1092328,165.7968494,520.0166667,888.1814812,218.8911337
525.0166667,569.9953326,168.5147909,525.0166667,821.7824796,204.8097058
530.0333333,445.2211686,127.6660999,530.0333333,810.0533942,204.6296342
535.0333333,531.8033794,155.4691458,535.0333333,794.1408041,195.1830925
540.0166667,552.6415352,162.7260431,540.0166667,651.9206768,162.7026531
545.0166667,666.3389312,200.8895198,545.0166667,744.6882237,191.9764375
550.0166667,603.8424096,188.7061556,550.0166667,605.4405057,161.41829
555.0166667,508.7749764,165.3200392,555.0166667,650.8888618,175.5166928
560.0333333,662.6440978,212.5528848,560.0333333,444.1947005,116.2601483
565.0166667,717.3892237,245.0220664,565.0166667,625.1435957,173.4682372
570.0333333,542.7409016,190.8901926,570.0333333,461.9615311,122.2208743
575.0333333,742.9604012,265.7512191,575.0333333,481.7645339,130.4906278
580.0166667,596.0364823,212.9255329,580.0166667,411.3987357,114.3305442
585.0166667,795.3993708,283.6375463,585.0166667,439.0515775,120.9147528
590.0166667,830.6886595,294.6952375,590.0166667,323.8833156,96.6174838
595.0166667,631.2050322,230.3337021,595.0166667,350.0528329,102.8167409
600.0166667,722.3087262,268.4981779,600.0166667,379.0400198,110.8021494
605.0166667,695.9347823,268.8689274,605.0166667,381.4831029,117.9323561
610.0166667,533.127186,208.3550183,610.0166667,371.4582226,118.1354352
615.0166667,465.3791726,171.4502762,615.0166667,357.345408,109.5856038
620.0166667,525.078053,195.2772453,620.0166667,511.9239927,154.7964264
625.0333333,501.8892237,192.7811513,625.0333333,579.4294207,179.6899193
630.0166667,527.3011713,193.7531625,630.0166667,662.0241788,205.597007
635.0166667,427.8753176,164.7425485,635.0166667,736.2777532,244.3932823
640.0166667,582.4227594,211.0581698,640.0166667,889.6289806,265.999627
645.0166667,522.7194331,186.4778999,645.0166667,932.8806127,281.9805481
650.0333333,478.7680713,170.8890538,650.0333333,1113.981271,329.439473
655.0333333,505.944634,175.1000764,655.0333333,921.9681333,265.8487583
660.0166667,523.1533292,178.368625,660.0166667,1043.093783,310.5281816
665.0333333,382.1329316,133.5853027,665.0333333,1229.747703,357.431908
670.0333333,443.8462351,158.3934005,670.0333333,1107.43976,309.5629972
675.0166667,541.3608945,181.1261678,675.0166667,1099.294909,311.9536058
680.0166667,418.2332949,146.6335492,680.0166667,1234.495288,340.6099785
685.0166667,450.0789614,155.3111226,685.0166667,1123.149319,310.6664362
690.0166667,371.3290426,126.2162776,690.0166667,965.3254904,261.3929299
695.0166667,356.1997297,124.2982505,695.0166667,719.758707,225.8862424
700,467.875576,151.7462069,700,936.1200151,265.8681667
705.0166667,472.5056939,148.9272986,705.0166667,823.8833673,246.2789386
710.0166667,407.5030279,137.781261,710.0166667,614.1355533,217.078083
715,541.1182796,156.0400131,715,649.5423609,181.5195523
720.0333333,486.3843791,139.3002115,720.0333333,641.8535759,185.7078211
725.0166667,507.7245953,165.1484573,725.0166667,485.4669591,152.2920471
730.0166667,512.9757843,150.6581805,730.0166667,554.2857291,154.5565346
735.0166667,646.6084205,186.0248689,735.0166667,539.433741,156.4054152
740.0333333,662.2159252,189.5013096,740.0333333,446.6400951,121.8378354
745.0166667,577.8839803,169.7014097,745.0166667,499.4080113,140.802214
750.0166667,630.5033454,176.1507925,750.0166667,357.3173594,98.7479238
755.0166667,456.297848,125.8643479,755.0166667,431.7161837,107.7074564
760.0166667,458.9721508,131.7855565,760.0166667,485.8514268,121.5939698
765.0166667,532.7078533,159.9328295,765.0166667,538.0709559,130.5282423
770.0166667,475.7626802,144.6548437,770.0166667,378.3533322,99.92362903
775.0166667,525.6567263,148.4295593,775.0166667,736.5238317,209.9388747
780.0333333,539.3336657,147.4894577,780.0333333,765.2346759,206.1702691
785,376.5560897,110.023779,785,845.6219278,241.0973864
790.0166667,429.6230873,124.3534827,790.0166667,1030.217203,299.5563396
795.0166667,481.7846287,133.0733377,795.0166667,1025.99856,316.736619
800.0166667,379.8864543,108.5315159,800.0166667,1119.328998,355.003113
805.0166667,324.8125222,83.74213017,805.0166667,1346.499365,457.3054128
810.0166667,339.3721494,97.57103475,810.0166667,1358.663151,448.7189726
815.0166667,424.714618,138.0074941,815.0166667,1378.317441,458.3011564
820.0166667,353.4149164,151.2184956,820.0166667,865.6520885,223.3416333
825.0333333,446.8777546,172.2427326,825.0333333,1312.07264,446.5352741
830.0166667,402.7410862,191.6167362,830.0166667,800.3807456,234.7477603
835.0166667,336.517606,146.5267267,835.0166667,1076.50401,359.2321113
840.0166667,452.3273293,227.698405,840.0166667,1184.418446,399.0579532
845.0166667,374.2156593,186.6490262,845.0166667,917.4521889,319.3234314
850,379.2965334,200.7235943,850,953.454626,326.1224512
855.0166667,464.9209205,255.0342919,855.0166667,1015.996271,353.4867961
860,390.6706842,209.4884039,860,952.1548062,318.6917356
865.0166667,594.3570247,323.9103982,865.0166667,870.8484801,296.9201148
870.0166667,544.660633,299.8575286,870.0166667,800.302604,282.4253143
875.0166667,447.8594544,233.7355753,875.0166667,717.315683,243.497275
880.0166667,462.7600954,311.4411477,880.0166667,434.2503397,119.7860612
885.0166667,720.7336716,381.0975288,885.0166667,679.446687,238.7672291
890.0166667,670.5869003,359.8698788,890.0166667,519.762466,180.8720439
895.0166667,561.1520885,302.2187055,895.0166667,470.1360333,162.3297274
900.0166667,614.9110023,320.1578272,900.0166667,539.6536541,193.3072645
905.0166667,526.0153462,276.2810489,905.0166667,485.6281313,171.090913
910.0166667,525.0083525,263.2911187,910.0166667,497.5587114,178.5522883
915.0166667,411.8068209,205.5124068,915.0166667,546.9107291,196.2538218
920.0166667,425.2990444,222.7326302,920.0166667,522.4398411,173.5375497
925.0166667,458.0549303,243.55445,925.0166667,653.0609344,204.4160396
930,345.0442219,169.0948925,930,682.4431939,206.5605173
935.0166667,408.9897421,197.9765872,935.0166667,791.1941244,237.6362725
940.0166667,379.9198423,202.1268732,940.0166667,602.3297811,159.5203855
945.0166667,359.949102,183.7980106,945.0166667,716.8265834,192.5236002
950.0166667,364.1522657,158.4548914,950.0166667,1134.875613,314.48865
