timeGFP,GFPmean,GFPstd,timeRFP,RFPmean,RFPstd
0,2487.287656,1023.082935,0,46.97610873,16.75030313
5.016666667,1846.308866,752.4248294,5.016666667,48.26090107,17.68163762
10.01666667,2146.644754,642.2034816,10.01666667,49.5130358,16.15467677
15.03333333,2306.781137,514.7521452,15.03333333,42.10335404,13.52802666
20.03333333,2377.664875,496.5541616,20.03333333,44.81406514,14.15996536
25.03333333,2056.208654,429.6867116,25.03333333,48.621207,14.78393827
30.03333333,1693.257344,312.2820081,30.03333333,42.57903955,13.60684057
35.03333333,2048.433273,416.6432681,35.03333333,50.28662546,16.00099902
40.03333333,1803.248317,337.0263888,40.03333333,40.67793755,13.82255938
45.01666667,1439.786781,259.5178576,45.01666667,41.83443184,12.47621196
50.03333333,1821.727102,329.6611635,50.03333333,40.98562948,14.1117041
55.03333333,2239.428471,369.1450687,55.03333333,40.03939193,13.07698358
60.03333333,2051.042608,343.2451933,60.03333333,40.10720062,11.05597101
65.03333333,1584.121693,254.0958889,65.03333333,38.08807128,9.94132162
70.03333333,1561.259398,236.5583312,70.03333333,32.18233954,10.16247806
75.01666667,1692.317497,263.4474263,75.01666667,37.33215768,10.83948329
80.01666667,1560.475668,234.062167,80.01666667,38.24420019,11.26796144
85.03333333,1264.010722,210.7705365,85.03333333,27.86330952,9.770811
90.01666667,1829.842537,279.6601173,90.01666667,40.17949994,11.15366515
95.03333333,1831.17006,276.4688328,95.03333333,32.57596596,9.603340162
100.0333333,1893.622646,295.0918969,100.0333333,37.06728178,9.554862723
105.0333333,871.0632452,154.1143736,105.0333333,20.77289942,7.719158065
110.0166667,1311.984163,196.5801698,110.0166667,33.20400168,10.75107462
115.0166667,1584.98791,235.0164384,115.0166667,38.59324608,11.42265161
120.0166667,1396.390179,213.0605414,120.0166667,41.11100939,11.31968002
125.1333333,948.8529663,161.099489,125.1333333,36.91064543,11.31480558
130.0166667,1194.223391,187.2819089,130.0166667,59.6238347,17.28344204
